Timestamp,open,high,low,close,volume,VWMA,ma_pdif,abs_pdif,return,RSI,MACD,Signal,MA20,20dSTD,UpperBand,LowerBand,Momentum,ROC
2023-06-02 14:15:30,395.03,395.1,394.98,395.05,4532604.0,394.83,0.22,0.02,0.005062906614705653,55.44,0.01,0.01,394.84,0.24,395.32,394.36,-0.25,-0.0006
2023-06-02 14:15:35,395.05,395.25,395.0,395.25,3948300.0,394.85,0.4,0.2,0.05062650297429361,57.64,0.04,0.02,394.88,0.25,395.38,394.38,0.17,0.0004
2023-06-02 14:15:40,395.25,395.5,395.25,395.5,4972673.0,394.91,0.59,0.25,0.06325110689437974,60.0,0.09,0.03,394.94,0.24,395.42,394.46,0.73,0.0018
2023-06-02 14:15:45,395.5,395.6,395.21,395.26,4973326.0,394.96,0.3,0.24,-0.06068268015171352,52.17,0.1,0.04,394.97,0.24,395.45,394.49,0.38,0.001
2023-06-02 14:15:50,395.26,395.29,395.16,395.24,4539859.0,394.99,0.25,0.02,-0.0050599605323053964,48.62,0.11,0.06,395.0,0.24,395.48,394.52,0.46,0.0012
2023-06-02 14:15:55,395.24,395.42,395.24,395.37,4713539.0,395.03,0.34,0.13,0.03289140775224464,56.94,0.12,0.07,395.02,0.25,395.52,394.52,0.51,0.0013
2023-06-02 14:16:00,395.39,395.54,395.175,395.54,5452616.0,395.06,0.48,0.17,0.04299769835849343,69.74,0.15,0.09,395.05,0.27,395.59,394.51,0.84,0.0021
2023-06-02 14:16:05,395.65,395.69,395.47,395.55,4275246.0,395.09,0.46,0.01,0.0025281893108131115,68.11,0.16,0.1,395.09,0.29,395.67,394.51,0.92,0.0023
2023-06-02 14:16:10,395.49,395.55,395.29,395.29,4423470.0,395.11,0.18,0.26,-0.06573126027050735,62.69,0.15,0.11,395.1,0.3,395.7,394.5,0.605,0.0015
2023-06-02 14:16:15,395.245,395.41,395.245,395.41,4866456.0,395.13,0.28,0.12,0.03035745908066545,63.41,0.16,0.12,395.11,0.3,395.71,394.51,0.38,0.001
2023-06-02 14:16:20,395.41,395.44,395.29,395.29,4574453.0,395.13,0.16,0.12,-0.030348246124278777,64.68,0.14,0.12,395.11,0.3,395.71,394.51,0.24,0.0006
2023-06-02 14:16:25,395.29,395.365,395.17,395.24,4300896.0,395.13,0.11,0.05,-0.012648941283621706,65.33,0.13,0.13,395.12,0.3,395.72,394.52,-0.01,-0.0
2023-06-02 14:16:30,395.24,395.25,395.02,395.03,4449949.0,395.13,0.1,0.21,-0.05313227406134047,58.04,0.1,0.12,395.13,0.29,395.71,394.55,-0.47,-0.0012
2023-06-02 14:16:35,395.03,395.3,395.03,395.15,4153699.0,395.14,0.01,0.12,0.030377439688122898,53.12,0.09,0.11,395.14,0.29,395.72,394.56,-0.11,-0.0003
2023-06-02 14:16:40,395.11,395.5,395.06,395.42,4154280.0,395.17,0.25,0.27,0.06832848285462934,58.53,0.1,0.11,395.17,0.28,395.73,394.61,0.18,0.0005
2023-06-02 14:16:45,395.42,395.54,395.33,395.53,4748378.0,395.2,0.33,0.11,0.02781852207778268,56.73,0.11,0.11,395.21,0.28,395.77,394.65,0.16,0.0004
2023-06-02 14:16:50,395.4450000000001,395.45,395.3,395.34,4158754.0,395.22,0.12,0.19,-0.04803681136702487,46.04,0.11,0.11,395.24,0.26,395.76,394.72,-0.2,-0.0005
2023-06-02 14:16:55,395.34,395.42,395.27,395.28,3879795.0,395.25,0.03,0.06,-0.015176809834571703,50.54,0.1,0.11,395.27,0.21,395.69,394.85,-0.27,-0.0007
2023-06-02 14:17:00,395.21,395.33,395.18,395.28,4328201.0,395.28,0.0,0.0,0.0,51.1,0.09,0.1,395.3,0.16,395.62,394.98,-0.01,-0.0
2023-06-02 14:17:05,395.28,395.6,395.28,395.56,4925918.0,395.32,0.24,0.28,0.0708358631855921,54.82,0.1,0.1,395.33,0.16,395.65,395.01,0.15,0.0004
2023-06-02 14:17:10,395.585,395.905,395.51,395.905,4777151.0,395.36,0.54,0.345,0.0872181211446943,58.51,0.14,0.11,395.37,0.19,395.75,394.99,0.615,0.0016
2023-06-02 14:17:15,395.9500000000001,395.98,395.71,395.815,4777765.0,395.4,0.42,0.09,-0.02273272628533496,55.96,0.16,0.12,395.4,0.21,395.82,394.98,0.575,0.0015
2023-06-02 14:17:20,395.815,396.11,395.8,396.11,4783673.0,395.44,0.67,0.295,0.07452976769450892,68.14,0.2,0.14,395.43,0.26,395.95,394.91,1.08,0.0027
2023-06-02 14:17:25,395.97,396.01,395.78,395.78,4964567.0,395.46,0.32,0.33,-0.08331019161345043,57.49,0.2,0.15,395.46,0.27,396.0,394.92,0.63,0.0016
2023-06-02 14:17:30,395.78,395.94,395.78,395.92,4213366.0,395.49,0.43,0.14,0.03537318712416582,62.65,0.21,0.16,395.49,0.29,396.07,394.91,0.5,0.0013
2023-06-02 14:17:35,395.9500000000001,395.9500000000001,395.8,395.845,3762709.0,395.51,0.34,0.075,-0.018943220852696285,62.03,0.21,0.17,395.51,0.29,396.09,394.93,0.315,0.0008
2023-06-02 14:17:40,395.88,396.085,395.86,396.08,4967890.0,395.55,0.53,0.235,0.059366671298088924,70.67,0.23,0.18,395.54,0.32,396.18,394.9,0.74,0.0019
2023-06-02 14:17:45,396.08,396.1,395.89,395.89,4668100.0,395.57,0.32,0.19,-0.04797010704907789,64.18,0.22,0.19,395.56,0.33,396.22,394.9,0.61,0.0015
2023-06-02 14:17:50,395.91,395.91,395.53,395.64,4221209.0,395.57,0.07,0.25,-0.06314885447977758,54.25,0.19,0.19,395.58,0.32,396.22,394.94,0.36,0.0009
2023-06-02 14:17:55,395.64,395.67,395.34,395.49,4399441.0,395.58,0.09,0.15,-0.03791325447375371,49.24,0.16,0.18,395.58,0.32,396.22,394.94,-0.07,-0.0002
2023-06-02 14:18:00,395.49,395.625,395.4,395.5,4855294.0,395.59,0.09,0.01,0.002528508938270946,53.27,0.13,0.17,395.59,0.32,396.23,394.95,-0.405,-0.001
2023-06-02 14:18:05,395.35,395.54,395.27,395.53,5007785.0,395.6,0.07,0.03,0.0075853350189669655,55.17,0.11,0.16,395.6,0.31,396.22,394.98,-0.285,-0.0007
2023-06-02 14:18:10,395.53,395.67,395.315,395.67,4704968.0,395.62,0.05,0.14,0.035395545217808966,57.62,0.1,0.15,395.64,0.27,396.18,395.1,-0.44,-0.0011
2023-06-02 14:18:15,395.57,395.65,395.46,395.52,4553946.0,395.64,0.12,0.15,-0.037910379862016175,49.18,0.08,0.13,395.66,0.25,396.16,395.16,-0.26,-0.0007
2023-06-02 14:18:20,395.52,395.72,395.46,395.72,3644385.0,395.66,0.06,0.2,0.050566343042079964,45.95,0.08,0.12,395.67,0.25,396.17,395.17,-0.2,-0.0005
2023-06-02 14:18:25,395.66,395.88,395.66,395.88,5024725.0,395.69,0.19,0.16,0.04043262913169254,51.38,0.1,0.12,395.69,0.25,396.19,395.19,0.035,0.0001
2023-06-02 14:18:30,395.87,396.07,395.77,395.84,4872962.0,395.7,0.14,0.04,-0.010104071940997272,43.57,0.1,0.12,395.71,0.24,396.19,395.23,-0.24,-0.0006
2023-06-02 14:18:35,395.84,395.945,395.76,395.9,4264320.0,395.73,0.17,0.06,0.015157639450280591,53.28,0.11,0.11,395.74,0.22,396.18,395.3,0.01,0.0
2023-06-02 14:18:40,395.89,395.93,395.77,395.85,5330873.0,395.75,0.1,0.05,-0.012629451881773779,47.99,0.11,0.11,395.77,0.19,396.15,395.39,0.21,0.0005
2023-06-02 14:18:45,395.85,396.075,395.81,396.0,3808151.0,395.78,0.22,0.15,0.0378931413414163,54.27,0.12,0.11,395.79,0.19,396.17,395.41,0.51,0.0013
2023-06-02 14:18:50,396.04,396.14,396.02,396.07,4878120.0,395.81,0.26,0.07,0.017676767676766403,49.7,0.13,0.12,395.8,0.19,396.18,395.42,0.57,0.0014
2023-06-02 14:18:55,396.07,396.09,395.8,395.87,4437902.0,395.81,0.06,0.2,-0.050496124422449995,49.4,0.13,0.12,395.81,0.2,396.21,395.41,0.34,0.0009
2023-06-02 14:19:00,395.87,396.13,395.87,396.035,5204773.0,395.82,0.22,0.165,0.04168034960971845,62.54,0.13,0.12,395.8,0.19,396.18,395.42,0.365,0.0009
2023-06-02 14:19:05,396.11,396.19,396.02,396.19,5052528.0,395.82,0.37,0.155,0.039137954978718525,72.15,0.15,0.13,395.82,0.21,396.24,395.4,0.67,0.0017
2023-06-02 14:19:10,396.19,396.2,396.09,396.15,5206472.0,395.84,0.31,0.04,-0.01009616598097729,70.19,0.16,0.13,395.83,0.22,396.27,395.39,0.43,0.0011
2023-06-02 14:19:15,396.15,396.15,395.81,395.925,5666966.0,395.84,0.09,0.225,-0.056796667928804556,60.94,0.14,0.14,395.84,0.22,396.28,395.4,0.045,0.0001
2023-06-02 14:19:20,395.85,395.98,395.84,395.92,3984151.0,395.85,0.07,0.005,-0.0012628654416868557,57.49,0.13,0.13,395.83,0.21,396.25,395.41,0.08,0.0002
2023-06-02 14:19:25,395.92,396.155,395.92,396.12,4768915.0,395.85,0.27,0.2,0.050515255607197496,67.44,0.13,0.13,395.84,0.22,396.28,395.4,0.22,0.0006
2023-06-02 14:19:30,396.12,396.12,395.92,396.0,3077029.0,395.85,0.15,0.12,-0.030293850348384055,58.54,0.13,0.13,395.86,0.22,396.3,395.42,0.15,0.0004
2023-06-02 14:19:35,396.0,396.13,395.97,395.97,3385110.0,395.86,0.11,0.03,-0.007575757575750686,52.98,0.12,0.13,395.88,0.2,396.28,395.48,-0.03,-0.0001
2023-06-02 14:19:40,395.93,396.2,395.93,396.01,4924934.0,395.89,0.12,0.04,0.010101775387005851,55.63,0.11,0.13,395.91,0.19,396.29,395.53,-0.06,-0.0002
2023-06-02 14:19:45,396.01,396.1,395.97,395.97,4310266.0,395.91,0.06,0.04,-0.010100755031428044,52.35,0.1,0.12,395.93,0.16,396.25,395.61,0.1,0.0003
2023-06-02 14:19:50,395.97,396.06,395.92,396.06,4158011.0,395.94,0.12,0.09,0.02272899462079092,56.86,0.1,0.12,395.95,0.15,396.25,395.65,0.025,0.0001
2023-06-02 14:19:55,396.09,396.16,396.04,396.05,4629243.0,395.96,0.09,0.01,-0.002524869969189325,51.8,0.1,0.11,395.98,0.12,396.22,395.74,-0.14,-0.0004
2023-06-02 14:20:00,396.135,396.17,395.84,395.935,4938315.0,395.98,0.05,0.115,-0.02903673778563709,45.3,0.08,0.11,395.99,0.1,396.19,395.79,-0.215,-0.0005
2023-06-02 14:20:05,395.92,395.95,395.81,395.81,4784538.0,395.98,0.17,0.125,-0.03157083864775423,47.79,0.06,0.1,395.98,0.1,396.18,395.78,-0.115,-0.0003
2023-06-02 14:20:10,395.81,396.01,395.76,395.95,4785290.0,395.98,0.03,0.14,0.03537050605086911,46.82,0.06,0.09,395.99,0.1,396.19,395.79,0.03,0.0001
2023-06-02 14:20:15,395.95,396.01,395.81,395.83,4786427.0,395.98,0.15,0.12,-0.03030685692637647,36.15,0.04,0.08,395.99,0.1,396.19,395.79,-0.29,-0.0007
2023-06-02 14:20:20,395.83,395.98,395.745,395.9,4944539.0,395.98,0.08,0.07,0.017684359447245335,40.6,0.04,0.07,395.99,0.1,396.19,395.79,-0.1,-0.0003
2023-06-02 14:20:25,395.9,396.08,395.89,396.08,4805123.0,395.99,0.09,0.18,0.045466026774443336,56.03,0.05,0.07,395.99,0.1,396.19,395.79,0.11,0.0003
2023-06-02 14:20:30,396.09,396.18,395.86,395.86,4805926.0,395.99,0.13,0.22,-0.05554433447787499,48.0,0.03,0.06,395.98,0.11,396.2,395.76,-0.15,-0.0004
2023-06-02 14:20:35,395.86,396.08,395.86,396.08,3876313.0,395.99,0.09,0.22,0.05557520335470745,48.68,0.04,0.06,395.99,0.1,396.19,395.79,0.11,0.0003
2023-06-02 14:20:40,396.08,396.385,396.08,396.35,4032524.0,396.01,0.34,0.27,0.06816804685922939,60.48,0.07,0.06,396.01,0.13,396.27,395.75,0.29,0.0007
2023-06-02 14:20:45,396.25,396.25,396.0,396.04,5118786.0,396.01,0.03,0.31,-0.07821370001261929,51.79,0.07,0.06,396.0,0.12,396.24,395.76,-0.01,-0.0
2023-06-02 14:20:50,396.04,396.21,396.01,396.03,4966923.0,396.0,0.03,0.01,-0.002524997475017443,50.52,0.06,0.06,395.99,0.12,396.23,395.75,0.095,0.0002
2023-06-02 14:20:55,396.03,396.12,395.95,395.98,4368383.0,395.99,0.01,0.05,-0.012625306163660532,50.26,0.05,0.06,396.0,0.12,396.24,395.76,0.17,0.0004
2023-06-02 14:21:00,395.98,395.98,395.66,395.77,5461435.0,395.98,0.21,0.21,-0.05303298146371871,42.93,0.03,0.05,395.99,0.13,396.25,395.73,-0.18,-0.0005
2023-06-02 14:21:05,395.83,395.83,395.7,395.71,4837984.0,395.97,0.26,0.06,-0.015160320388107884,41.9,0.01,0.04,395.97,0.14,396.25,395.69,-0.12,-0.0003
2023-06-02 14:21:10,395.76,395.76,395.61,395.67,4682310.0,395.95,0.28,0.04,-0.010108412726483884,43.46,-0.02,0.03,395.95,0.15,396.25,395.65,-0.23,-0.0006
2023-06-02 14:21:15,395.5,395.685,395.42,395.6,4682706.0,395.93,0.33,0.07,-0.017691510602269034,44.67,-0.04,0.02,395.93,0.17,396.27,395.59,-0.48,-0.0012
2023-06-02 14:21:20,395.68,395.82,395.64,395.7,5623633.0,395.92,0.22,0.1,0.025278058645095136,43.52,-0.05,0.0,395.92,0.18,396.28,395.56,-0.16,-0.0004
2023-06-02 14:21:25,395.7,395.7,395.51,395.55,5173933.0,395.89,0.34,0.15,-0.03790750568611889,42.86,-0.07,-0.01,395.9,0.2,396.3,395.5,-0.53,-0.0013
2023-06-02 14:21:30,395.55,395.885,395.53,395.77,5018106.0,395.88,0.11,0.22,0.05561875869042332,46.92,-0.06,-0.02,395.88,0.19,396.26,395.5,-0.58,-0.0015
2023-06-02 14:21:35,395.82,395.91,395.76,395.77,4391542.0,395.87,0.1,0.0,0.0,41.97,-0.06,-0.03,395.87,0.19,396.25,395.49,-0.27,-0.0007
2023-06-02 14:21:40,395.85,395.85,395.6,395.6,5490013.0,395.85,0.25,0.17,-0.0429542410996131,43.09,-0.07,-0.04,395.85,0.2,396.25,395.45,-0.43,-0.0011
2023-06-02 14:21:45,395.6,395.6,395.09,395.215,5647389.0,395.81,0.6,0.385,-0.09732052578362849,28.849999999999994,-0.11,-0.05,395.82,0.25,396.32,395.32,-0.765,-0.0019
2023-06-02 14:21:50,395.215,395.25,395.15,395.21,5650110.0,395.78,0.57,0.005,-0.0012651341674718708,17.980000000000004,-0.14,-0.07,395.79,0.28,396.35,395.23,-0.56,-0.0014
2023-06-02 14:21:55,395.22,395.27,395.11,395.17,4880216.0,395.74,0.57,0.04,-0.01012120138659256,21.189999999999998,-0.16,-0.09,395.75,0.31,396.37,395.13,-0.54,-0.0014
