Timestamp,open,high,low,close,volume,VWMA,ma_pdif,abs_pdif,RSI,MACD,Signal,MA20,20dSTD,UpperBand,LowerBand,Momentum,ROC
20230602141530,0.1893,0.184,0.189,0.1929,-0.7568,-2.2054,0.0202,-0.8648,55.44,-0.0281,-0.0316,-2.1975,0.46,-2.2765,-2.0666,-0.7165,-0.0006
20230602141535,0.1933,0.214,0.1929,0.2323,-1.1322,-2.1863,0.9476,1.3778,57.64,0.2052,0.0514,-2.1594,0.5535,-2.2146,-2.0494,0.4053,0.0004
20230602141540,0.2327,0.264,0.2421,0.2815,-0.4742,-2.1291,1.9265,2.0008,60.0,0.5941,0.1345,-2.1021,0.46,-2.1733,-1.9806,1.9011,0.0018
20230602141545,0.2821,0.284,0.2343,0.2343,-0.4737,-2.0814,0.4323,1.8762,52.17,0.6719,0.2175,-2.0735,0.46,-2.1423,-1.9547,0.9662,0.001
20230602141550,0.2347,0.222,0.2244,0.2303,-0.7522,-2.0528,0.1747,-0.8648,48.62,0.7496,0.3835,-2.0449,0.46,-2.1113,-1.9289,1.1799,0.0012
20230602141555,0.2308,0.248,0.2402,0.2559,-0.6406,-2.0146,0.6384,0.5057,56.94,0.8274,0.4665,-2.0258,0.5535,-2.07,-1.9289,1.3134,0.0013
20230602141600,0.2604,0.272,0.2274,0.2894,-0.1659,-1.986,1.3597,1.004,69.74,1.0607,0.6326,-1.9972,0.7405,-1.9977,-1.9375,2.1949,0.0021
20230602141605,0.3116,0.302,0.2854,0.2913,-0.9221,-1.9574,1.2567,-0.9894,68.11,1.1385,0.7156,-1.959,0.9276,-1.9151,-1.9375,2.4086,0.0023
20230602141610,0.2801,0.274,0.25,0.2402,-0.8269,-1.9383,-0.1859,2.1254,62.69,1.0607,0.7986,-1.9495,1.0211,-1.8842,-1.9461,1.5672,0.0015
20230602141615,0.2318,0.246,0.2411,0.2638,-0.5424,-1.9192,0.3293,0.3811,63.41,1.1385,0.8816,-1.9399,1.0211,-1.8738,-1.9375,0.9662,0.001
20230602141620,0.2643,0.252,0.25,0.2402,-0.73,-1.9192,-0.289,0.3811,64.68,0.983,0.8816,-1.9399,1.0211,-1.8738,-1.9375,0.5923,0.0006
20230602141625,0.2406,0.237,0.2264,0.2303,-0.9057,-1.9192,-0.5466,-0.491,65.33,0.9052,0.9646,-1.9304,1.0211,-1.8635,-1.9289,-0.0755,-0.0
20230602141630,0.2308,0.214,0.1969,0.189,-0.8099,-1.9192,-0.5981,1.5024,58.04,0.6719,0.8816,-1.9208,0.9276,-1.8738,-1.9031,-1.3042,-0.0012
20230602141635,0.1893,0.224,0.1988,0.2126,-1.0002,-1.9097,-1.0618,0.3811,53.12,0.5941,0.7986,-1.9113,0.9276,-1.8635,-1.8945,-0.3426,-0.0003
20230602141640,0.2051,0.264,0.2047,0.2657,-0.9998,-1.8811,0.1747,2.2499,58.53,0.6719,0.7986,-1.8827,0.8341,-1.8532,-1.8515,0.432,0.0005
20230602141645,0.2663,0.272,0.2579,0.2874,-0.6182,-1.8525,0.5869,0.2565,56.73,0.7496,0.7986,-1.8445,0.8341,-1.8119,-1.8171,0.3786,0.0004
20230602141650,0.2712,0.254,0.252,0.25,-0.997,-1.8334,-0.4951,1.2532,46.04,0.7496,0.7986,-1.8159,0.647,-1.8222,-1.7568,-0.583,-0.0005
20230602141655,0.2505,0.248,0.2461,0.2382,-1.1762,-1.8048,-0.9588,-0.3665,50.54,0.6719,0.7986,-1.7873,0.1794,-1.8945,-1.645,-0.77,-0.0007
20230602141700,0.2249,0.23,0.2283,0.2382,-0.8881,-1.7762,-1.1133,-1.114,51.1,0.5941,0.7156,-1.7586,-0.2882,-1.9668,-1.5331,-0.0755,-0.0
20230602141705,0.2387,0.284,0.248,0.2933,-0.5042,-1.738,0.1232,2.3745,54.82,0.6719,0.7156,-1.73,-0.2882,-1.9358,-1.5073,0.3519,0.0004
20230602141710,0.2988,0.345,0.2933,0.3612,-0.5997,-1.6999,1.6689,3.1844,58.51,0.983,0.7986,-1.6918,-0.0076,-1.8325,-1.5245,1.5939,0.0016
20230602141715,0.3708,0.36,0.3327,0.3435,-0.5994,-1.6617,1.0506,0.0073,55.96,1.1385,0.8816,-1.6632,0.1794,-1.7603,-1.5331,1.4871,0.0015
20230602141720,0.3442,0.386,0.3504,0.4016,-0.5956,-1.6235,2.3387,2.5614,68.14,1.4496,1.0477,-1.6346,0.647,-1.626,-1.5933,2.8359,0.0027
20230602141725,0.3748,0.366,0.3465,0.3366,-0.4794,-1.6045,0.5354,2.9975,57.49,1.4496,1.1307,-1.606,0.7405,-1.5744,-1.5847,1.634,0.0016
20230602141730,0.3373,0.352,0.3465,0.3642,-0.9619,-1.5759,1.1021,0.6303,62.65,1.5274,1.2137,-1.5773,0.9276,-1.5021,-1.5933,1.2867,0.0013
20230602141735,0.3708,0.354,0.3504,0.3494,-1.2514,-1.5568,0.6384,-0.1796,62.03,1.5274,1.2967,-1.5583,0.9276,-1.4815,-1.5761,0.7926,0.0008
20230602141740,0.357,0.381,0.3622,0.3957,-0.4772,-1.5186,1.6173,1.8139,70.67,1.6829,1.3797,-1.5296,1.2081,-1.3886,-1.6019,1.9278,0.0019
