Timestamp,open,high,low,close,volume,VWMA,ma_pdif,abs_pdif,RSI,MACD,Signal,MA20,20dSTD,UpperBand,LowerBand,Momentum,ROC
20230602141530,0.18934911242602936,0.1839999999999975,0.18897637795276978,0.19291338582678463,4532604.0,394.83,0.22,0.02,55.44,0.01,0.01,394.84,0.24,395.32,394.36,-0.25,-0.0006
20230602141535,0.19329388560157668,0.21399999999999864,0.19291338582678463,0.23228346456693316,3948300.0,394.85,0.4,0.2,57.64,0.04,0.02,394.88,0.25,395.38,394.38,0.17,0.0004
20230602141540,0.23274161735699295,0.2639999999999958,0.2421259842519703,0.28149606299213303,4972673.0,394.91,0.59,0.25,60.0,0.09,0.03,394.94,0.24,395.42,394.46,0.73,0.0018
20230602141545,0.2820512820512704,0.2839999999999918,0.2342519685039406,0.2342519685039406,4973326.0,394.96,0.3,0.24,52.17,0.1,0.04,394.97,0.24,395.45,394.49,0.38,0.001
20230602141550,0.2347140039447595,0.2219999999999942,0.22440944881890346,0.23031496062992574,4539859.0,394.99,0.25,0.02,48.62,0.11,0.06,395.0,0.24,395.48,394.52,0.46,0.0012
20230602141555,0.2307692307692264,0.24799999999999045,0.24015748031497708,0.2559055118110365,4713539.0,395.03,0.34,0.13,56.94,0.12,0.07,395.02,0.25,395.52,394.52,0.51,0.0013
20230602141600,0.2603550295857957,0.27199999999999136,0.2273622047244146,0.28937007874016274,5452616.0,395.06,0.48,0.17,69.74,0.15,0.09,395.05,0.27,395.59,394.51,0.84,0.0021
20230602141605,0.3116370808678397,0.3019999999999925,0.2854330708661479,0.29133858267717017,4275246.0,395.09,0.46,0.01,68.11,0.16,0.1,395.09,0.29,395.67,394.51,0.92,0.0023
20230602141610,0.28007889546350384,0.2740000000000009,0.2500000000000142,0.24015748031497708,4423470.0,395.11,0.18,0.26,62.69,0.15,0.11,395.1,0.3,395.7,394.5,0.605,0.0015
20230602141615,0.23175542406310967,0.2459999999999951,0.24114173228346658,0.2637795275590662,4866456.0,395.13,0.28,0.12,63.41,0.16,0.12,395.11,0.3,395.71,394.51,0.38,0.001
20230602141620,0.264299802761343,0.25199999999999534,0.2500000000000142,0.24015748031497708,4574453.0,395.13,0.16,0.12,64.68,0.14,0.12,395.11,0.3,395.71,394.51,0.24,0.0006
20230602141625,0.24063116370808757,0.23699999999999477,0.22637795275591088,0.23031496062992574,4300896.0,395.13,0.11,0.05,65.33,0.13,0.13,395.12,0.3,395.72,394.52,-0.01,-0.0
20230602141630,0.2307692307692264,0.21399999999999864,0.19685039370078528,0.18897637795275557,4449949.0,395.13,0.1,0.21,58.04,0.1,0.12,395.13,0.29,395.71,394.55,-0.47,-0.0012
20230602141635,0.18934911242602936,0.22399999999998954,0.1988188976377927,0.2125984251968589,4153699.0,395.14,0.01,0.12,53.12,0.09,0.11,395.14,0.29,395.72,394.56,-0.11,-0.0003
20230602141640,0.2051282051282044,0.2639999999999958,0.2047244094488292,0.2657480314960736,4154280.0,395.17,0.25,0.27,58.53,0.1,0.11,395.17,0.28,395.73,394.61,0.18,0.0005
20230602141645,0.26627218934910957,0.27199999999999136,0.2578740157480297,0.2874015748031553,4748378.0,395.2,0.33,0.11,56.73,0.11,0.11,395.21,0.28,395.77,394.65,0.16,0.0004
20230602141650,0.27120315581855436,0.2539999999999907,0.25196850393702164,0.25,4158754.0,395.22,0.12,0.19,46.04,0.11,0.11,395.24,0.26,395.76,394.72,-0.2,-0.0005
20230602141655,0.25049309664693453,0.24799999999999045,0.24606299212598515,0.23818897637795544,3879795.0,395.25,0.03,0.06,50.54,0.1,0.11,395.27,0.21,395.69,394.85,-0.27,-0.0007
20230602141700,0.22485207100591253,0.22999999999998977,0.2283464566929183,0.23818897637795544,4328201.0,395.28,0.0,0.0,51.1,0.09,0.1,395.3,0.16,395.62,394.98,-0.01,-0.0
20230602141705,0.2386587771203068,0.2839999999999918,0.24803149606299257,0.2933070866141776,4925918.0,395.32,0.24,0.28,54.82,0.1,0.1,395.33,0.16,395.65,395.01,0.15,0.0004
20230602141710,0.2988165680473287,0.34499999999998465,0.2933070866141776,0.361220472440948,4777151.0,395.36,0.54,0.345,58.51,0.14,0.11,395.37,0.19,395.75,394.99,0.615,0.0016
20230602141715,0.37080867850100674,0.35999999999999943,0.33267716535434033,0.3435039370078812,4777765.0,395.4,0.42,0.09,55.96,0.16,0.12,395.4,0.21,395.82,394.98,0.575,0.0015
20230602141720,0.34418145956607304,0.3859999999999957,0.35039370078740717,0.40157480314961447,4783673.0,395.44,0.67,0.295,68.14,0.2,0.14,395.43,0.26,395.95,394.91,1.08,0.0027
20230602141725,0.37475345167652563,0.36599999999998545,0.3464566929133923,0.336614173228341,4964567.0,395.46,0.32,0.33,57.49,0.2,0.15,395.46,0.27,396.0,394.92,0.63,0.0016
20230602141730,0.3372781065088617,0.35199999999998965,0.3464566929133923,0.36417322834647337,4213366.0,395.49,0.43,0.14,62.65,0.21,0.16,395.49,0.29,396.07,394.91,0.5,0.0013
20230602141735,0.37080867850100674,0.3540000000000134,0.35039370078740717,0.34940944881890346,3762709.0,395.51,0.34,0.075,62.03,0.21,0.17,395.51,0.29,396.09,394.93,0.315,0.0008
20230602141740,0.35700197238658404,0.380999999999986,0.36220472440945173,0.3956692913385922,4967890.0,395.55,0.53,0.235,70.67,0.23,0.18,395.54,0.32,396.18,394.9,0.74,0.0019
20230602141745,0.3964497041420003,0.38400000000000034,0.368110236220474,0.3582677165354369,4668100.0,395.57,0.32,0.19,64.18,0.22,0.19,395.56,0.33,396.22,394.9,0.61,0.0015
20230602141750,0.3629191321498979,0.34600000000000364,0.29724409448819245,0.309055118110237,4221209.0,395.57,0.07,0.25,54.25,0.19,0.19,395.58,0.32,396.22,394.94,0.36,0.0009
20230602141755,0.30966469428007315,0.2980000000000018,0.25984251968503713,0.2795275590551256,4399441.0,395.58,0.09,0.15,49.24,0.16,0.18,395.58,0.32,396.22,394.94,-0.07,-0.0002
20230602141800,0.28007889546350384,0.28899999999998727,0.2716535433070959,0.28149606299213303,4855294.0,395.59,0.09,0.01,53.27,0.13,0.17,395.59,0.32,396.23,394.95,-0.405,-0.001
20230602141805,0.2524654832347153,0.27199999999999136,0.24606299212598515,0.2874015748031553,5007785.0,395.6,0.07,0.03,55.17,0.11,0.16,395.6,0.31,396.22,394.98,-0.285,-0.0007
20230602141810,0.28796844181458425,0.2980000000000018,0.2549212598425328,0.3149606299212735,4704968.0,395.62,0.05,0.14,57.62,0.1,0.15,395.64,0.27,396.18,395.1,-0.44,-0.0011
20230602141815,0.2958579881656789,0.2939999999999827,0.28346456692914046,0.2854330708661479,4553946.0,395.64,0.12,0.15,49.18,0.08,0.13,395.66,0.25,396.16,395.16,-0.26,-0.0007
20230602141820,0.2859960552268177,0.3079999999999927,0.28346456692914046,0.3248031496063106,3644385.0,395.66,0.06,0.2,45.95,0.08,0.12,395.67,0.25,396.17,395.17,-0.2,-0.0005
20230602141825,0.31360946745562046,0.3399999999999892,0.3228346456693032,0.35629921259842945,5024725.0,395.69,0.19,0.16,51.38,0.1,0.12,395.69,0.25,396.19,395.19,0.035,0.0001
20230602141830,0.3550295857988175,0.3779999999999859,0.3444881889763849,0.34842519685039974,4872962.0,395.7,0.14,0.04,43.57,0.1,0.12,395.71,0.24,396.19,395.23,-0.24,-0.0006
20230602141835,0.3491124260354894,0.35299999999999443,0.34251968503937746,0.3602362204724443,4264320.0,395.73,0.17,0.06,53.28,0.11,0.11,395.74,0.22,396.18,395.3,0.01,0.0
20230602141840,0.3589743589743506,0.3499999999999943,0.3444881889763849,0.35039370078740717,5330873.0,395.75,0.1,0.05,47.99,0.11,0.11,395.77,0.19,396.15,395.39,0.21,0.0005
20230602141845,0.3510848126232702,0.3789999999999907,0.3523622047244146,0.3799212598425328,3808151.0,395.78,0.22,0.15,54.27,0.12,0.11,395.79,0.19,396.17,395.41,0.51,0.0013
20230602141850,0.3885601577909199,0.3919999999999959,0.39370078740158476,0.39370078740158476,4878120.0,395.81,0.26,0.07,49.7,0.13,0.12,395.8,0.19,396.18,395.42,0.57,0.0014
20230602141855,0.39447731755423376,0.3819999999999908,0.35039370078740717,0.354330708661422,4437902.0,395.81,0.06,0.2,49.4,0.13,0.12,395.81,0.2,396.21,395.41,0.34,0.0009
20230602141900,0.3550295857988175,0.38999999999998636,0.36417322834645915,0.38681102362205877,5204773.0,395.82,0.22,0.165,62.54,0.13,0.12,395.8,0.19,396.18,395.42,0.365,0.0009
20230602141905,0.4023668639053284,0.4019999999999868,0.39370078740158476,0.4173228346456739,5052528.0,395.82,0.37,0.155,72.15,0.15,0.13,395.82,0.21,396.24,395.4,0.67,0.0017
20230602141910,0.4181459566074892,0.40399999999999636,0.40748031496063675,0.4094488188976442,5206472.0,395.84,0.31,0.04,70.19,0.16,0.13,395.83,0.22,396.27,395.39,0.43,0.0011
20230602141915,0.4102564102563946,0.39399999999999125,0.3523622047244146,0.36515748031496287,5666966.0,395.84,0.09,0.225,60.94,0.14,0.14,395.84,0.22,396.28,395.4,0.045,0.0001
20230602141920,0.3510848126232702,0.35999999999999943,0.3582677165354369,0.36417322834647337,3984151.0,395.85,0.07,0.005,57.49,0.13,0.13,395.83,0.21,396.25,395.41,0.08,0.0002
20230602141925,0.36489151873766446,0.3949999999999818,0.3740157480315105,0.4035433070866219,4768915.0,395.85,0.27,0.2,67.44,0.13,0.13,395.84,0.22,396.28,395.4,0.22,0.0006
20230602141930,0.40433925049309494,0.387999999999991,0.3740157480315105,0.3799212598425328,3077029.0,395.85,0.15,0.12,58.54,0.13,0.13,395.86,0.22,396.3,395.42,0.15,0.0004
20230602141935,0.3806706114398395,0.38999999999998636,0.38385826771654763,0.3740157480315105,3385110.0,395.86,0.11,0.03,52.98,0.12,0.13,395.88,0.2,396.28,395.48,-0.03,-0.0001
20230602141940,0.3668639053254452,0.40399999999999636,0.3759842519685179,0.381889763779526,4924934.0,395.89,0.12,0.04,55.63,0.11,0.13,395.91,0.19,396.29,395.53,-0.06,-0.0002
20230602141945,0.38264299802760604,0.38400000000000034,0.38385826771654763,0.3740157480315105,4310266.0,395.91,0.06,0.04,52.35,0.1,0.12,395.93,0.16,396.25,395.61,0.1,0.0003
20230602141950,0.37475345167652563,0.37599999999999056,0.3740157480315105,0.39173228346457734,4158011.0,395.94,0.12,0.09,56.86,0.1,0.12,395.95,0.15,396.25,395.65,0.025,0.0001
20230602141955,0.39842209072976686,0.3960000000000008,0.3976377952755996,0.3897637795275699,4629243.0,395.96,0.09,0.01,51.8,0.1,0.11,395.98,0.12,396.22,395.74,-0.14,-0.0004
20230602142000,0.40729783037474476,0.39799999999999613,0.3582677165354369,0.3671259842519703,4938315.0,395.98,0.05,0.115,45.3,0.08,0.11,395.99,0.1,396.19,395.79,-0.215,-0.0005
20230602142005,0.36489151873766446,0.353999999999985,0.3523622047244146,0.34251968503937746,4784538.0,395.98,0.17,0.125,47.79,0.06,0.1,395.98,0.1,396.18,395.78,-0.115,-0.0003
20230602142010,0.34319526627218977,0.36599999999998545,0.34251968503937746,0.37007874015748143,4785290.0,395.98,0.03,0.14,46.82,0.06,0.09,395.99,0.1,396.19,395.79,0.03,0.0001
20230602142015,0.3708086785009783,0.36599999999998545,0.3523622047244146,0.3464566929133923,4786427.0,395.98,0.15,0.12,36.15,0.04,0.08,395.99,0.1,396.19,395.79,-0.29,-0.0007
20230602142020,0.34714003944772287,0.35999999999999943,0.3395669291338663,0.3602362204724443,4944539.0,395.98,0.08,0.07,40.6,0.04,0.07,395.99,0.1,396.19,395.79,-0.1,-0.0003
20230602142025,0.36094674556211714,0.37999999999999545,0.368110236220474,0.3956692913385922,4805123.0,395.99,0.09,0.18,56.03,0.05,0.07,395.99,0.1,396.19,395.79,0.11,0.0003
20230602142030,0.39842209072976686,0.3999999999999915,0.36220472440945173,0.3523622047244146,4805926.0,395.99,0.13,0.22,48.0,0.03,0.06,395.98,0.11,396.2,395.76,-0.15,-0.0004
20230602142035,0.35305719921103673,0.37999999999999545,0.36220472440945173,0.3956692913385922,3876313.0,395.99,0.09,0.22,48.68,0.04,0.06,395.99,0.1,396.19,395.79,0.11,0.0003
20230602142040,0.3964497041420003,0.4409999999999883,0.4055118110236293,0.4488188976378069,4032524.0,396.01,0.34,0.27,60.48,0.07,0.06,396.01,0.13,396.27,395.75,0.29,0.0007
20230602142045,0.42998027613411693,0.41399999999998727,0.3897637795275699,0.3877952755905625,5118786.0,396.01,0.03,0.31,51.79,0.07,0.06,396.0,0.12,396.24,395.76,-0.01,-0.0
20230602142050,0.3885601577909199,0.4059999999999917,0.39173228346457734,0.38582677165354085,4966923.0,396.0,0.03,0.01,50.52,0.06,0.06,395.99,0.12,396.23,395.75,0.095,0.0002
20230602142055,0.38658777120313914,0.387999999999991,0.37992125984251857,0.3759842519685179,4368383.0,395.99,0.01,0.05,50.26,0.05,0.06,396.0,0.12,396.24,395.76,0.17,0.0004
20230602142100,0.3767258382642922,0.35999999999999943,0.3228346456693032,0.33464566929134776,5461435.0,395.98,0.21,0.21,42.93,0.03,0.05,395.99,0.13,396.25,395.73,-0.18,-0.0005
20230602142105,0.34714003944772287,0.3299999999999841,0.3307086614173329,0.322834645669289,4837984.0,395.97,0.26,0.06,41.9,0.01,0.04,395.97,0.14,396.25,395.69,-0.12,-0.0003
20230602142110,0.3333333333333286,0.3159999999999883,0.31299212598426607,0.3149606299212735,4682310.0,395.95,0.28,0.04,43.46,-0.02,0.03,395.95,0.15,396.25,395.65,-0.23,-0.0006
20230602142115,0.2820512820512704,0.3009999999999877,0.27559055118111075,0.3011811023622215,4682706.0,395.93,0.33,0.07,44.67,-0.04,0.02,395.93,0.17,396.27,395.59,-0.48,-0.0012
20230602142120,0.31755424063115356,0.32799999999998875,0.31889763779527414,0.32086614173228156,5623633.0,395.92,0.22,0.1,43.52,-0.05,0.0,395.92,0.18,396.28,395.56,-0.16,-0.0004
20230602142125,0.3214990138067009,0.30399999999998784,0.2933070866141776,0.29133858267717017,5173933.0,395.89,0.34,0.15,42.86,-0.07,-0.01,395.9,0.2,396.3,395.5,-0.53,-0.0013
20230602142130,0.29191321499013156,0.340999999999994,0.29724409448819245,0.33464566929134776,5018106.0,395.88,0.11,0.22,46.92,-0.06,-0.02,395.88,0.19,396.26,395.5,-0.58,-0.0015
20230602142135,0.3451676528599563,0.34600000000000364,0.34251968503937746,0.33464566929134776,4391542.0,395.87,0.1,0.0,41.97,-0.06,-0.03,395.87,0.19,396.25,395.49,-0.27,-0.0007
20230602142140,0.3510848126232702,0.3340000000000032,0.31102362204725864,0.3011811023622215,5490013.0,395.85,0.25,0.17,43.09,-0.07,-0.04,395.85,0.2,396.25,395.45,-0.43,-0.0011
20230602142145,0.30177514792899274,0.2839999999999918,0.21062992125985147,0.22539370078740717,5647389.0,395.81,0.6,0.385,28.849999999999994,-0.11,-0.05,395.82,0.25,396.32,395.32,-0.765,-0.0019
20230602142150,0.2258382642997958,0.21399999999999864,0.22244094488189603,0.22440944881890346,5650110.0,395.78,0.57,0.005,17.980000000000004,-0.14,-0.07,395.79,0.28,396.35,395.23,-0.56,-0.0014
20230602142155,0.2268244575936933,0.2179999999999893,0.21456692913386632,0.21653543307087375,4880216.0,395.74,0.57,0.04,21.19,-0.16,-0.09,395.75,0.31,396.37,395.13,-0.54,-0.0014
20230602142200,0.21696252465483212,0.1979999999999933,0.17125984251968873,0.20374015748032548,4565768.0,395.71,0.6,0.065,20.450000000000003,-0.18,-0.11,395.71,0.34,396.39,395.03,-0.565,-0.0014
20230602142205,0.19526627218934323,0.18199999999998795,0.184055118110237,0.20078740157480013,4881113.0,395.67,0.58,0.015,20.92,-0.2,-0.12,395.66,0.36,396.38,394.94,-0.51,-0.0013
20230602142210,0.2011834319526571,0.1979999999999933,0.1751968503937178,0.1830708661417333,5039156.0,395.62,0.62,0.09,22.700000000000003,-0.22,-0.14,395.62,0.38,396.38,394.86,-0.7,-0.0018
20230602142215,0.1834319526627155,0.17399999999999238,0.17125984251968873,0.1614173228346516,5040007.0,395.57,0.68,0.11,21.92,-0.24,-0.16,395.56,0.4,396.36,394.76,-0.66,-0.0017
20230602142220,0.17357001972385433,0.27199999999999136,0.18110236220472586,0.27559055118111075,5517615.0,395.54,0.07,0.58,45.0,-0.2,-0.17,395.52,0.35,396.22,394.82,-0.3,-0.0008
20230602142225,0.26232741617356226,0.2599999999999909,0.2421259842519703,0.2421259842519703,5393203.0,395.5,0.2,0.17,42.86,-0.19,-0.17,395.48,0.33,396.14,394.82,-0.47,-0.0012
20230602142230,0.24260355029585412,0.23799999999999955,0.2342519685039406,0.22440944881890346,4600913.0,395.46,0.25,0.09,38.28,-0.18,-0.18,395.44,0.31,396.06,394.82,-0.39,-0.001
20230602142235,0.22485207100591253,0.2799999999999869,0.2342519685039406,0.27362204724410333,4759969.0,395.44,0.02,0.25,47.95,-0.16,-0.17,395.41,0.29,395.99,394.83,0.245,0.0006
