Time,Price open,Price high,Price low,Price close,Volume Volume
2023-06-02 14:13:00,394.74,394.87,394.55,394.55,11772580.0
2023-06-02 14:14:00,394.55,395.4,394.18,394.88,52227374.0
2023-06-02 14:15:00,394.88,395.6,394.56,395.37,53311410.0
2023-06-02 14:16:00,395.39,395.69,395.02,395.28,53437992.0
2023-06-02 14:17:00,395.21,396.11,395.18,395.49,54789990.0
2023-06-02 14:18:00,395.49,396.14,395.27,395.87,55383431.0
2023-06-02 14:19:00,395.87,396.2,395.81,396.05,54368398.0
2023-06-02 14:20:00,396.135,396.385,395.745,395.98,56213087.0
2023-06-02 14:21:00,395.98,395.98,395.09,395.17,61539377.0
2023-06-02 14:22:00,395.17,395.67,394.89,395.5,58548176.0
2023-06-02 14:23:00,395.46,395.93,395.43,395.57,50316971.0
2023-06-02 14:24:00,395.57,395.57,394.25,394.38,61142087.0
2023-06-02 14:25:00,394.31,394.93,394.02,394.84,59944507.0
2023-06-02 14:26:00,394.85,394.97,394.47,394.71,53154188.0
2023-06-02 14:27:00,394.71,396.67,394.71,396.67,60235265.0
2023-06-02 14:28:00,396.67,397.18,396.56,396.82,66115609.0
2023-06-02 14:29:00,396.82,396.87,396.11,396.33,62832358.0
2023-06-02 14:30:00,396.33,396.84,396.25,396.69,57056958.0
2023-06-02 14:31:00,396.69,396.79,396.41,396.45,61819014.0
2023-06-02 14:32:00,396.45,396.52,395.65,396.45,64652448.0
2023-06-02 14:33:00,396.41,396.59,395.78,396.5,64273182.0
2023-06-02 14:34:00,396.5,396.75,396.09,396.34,62421201.0
2023-06-02 14:35:00,396.34,396.47,395.97,396.35,58197777.0
2023-06-02 14:36:00,396.44,396.56,395.91,396.11,62569107.0
2023-06-02 14:37:00,396.11,396.19,395.83,396.04,60924105.0
2023-06-02 14:38:00,396.04,396.11,395.4,395.54,53983435.0
2023-06-02 14:39:00,395.51,396.35,395.39,396.29,65161923.0
2023-06-02 14:40:00,396.29,396.52,395.77,396.52,64109665.0
2023-06-02 14:41:00,396.47,396.66,396.19,396.66,55762546.0
2023-06-02 14:42:00,396.75,396.99,396.53,396.86,64093127.0
2023-06-02 14:43:00,396.86,397.49,396.86,397.38,76279671.0
2023-06-02 14:44:00,397.38,398.08,397.33,398.08,71375977.0
2023-06-02 14:45:00,398.08,398.65,397.97,398.36,79424362.0
